약이름,금기성분,부작용사유
노바스크,자몽주스,자몽과 함께 복용 시 부작용 위험이 극도로 증가합니다.
노바스크,이부프로펜,이부프로펜 진통제와 복용 시 혈압 강하 효과가 감소합니다.
노바스크,부루펜,부루펜 진통제와 복용 시 혈압 감소 효과가 저해될 수 있습니다.
노바스크,이지엔6,이지엔6 진통제 성분이 혈압약의 약효를 방해합니다.
노바스크,탁센,탁센의 나프록센 성분이 혈압을 상승시킬 수 있습니다.
타이레놀,알코올,복용 중 음주 시 간 손상 위험이 매우 높아집니다.
타이레놀,술,술과 함께 복용하면 간 기능에 심각한 무리가 옵니다.
타이레놀,음주,간 대사 효소에 무리를 주어 독성 물질이 쌓일 수 있습니다.
아스피린,케토톱,다른 외용 소염진통제와 병용 시 위장관 출혈 위험이 증가합니다.
아스피린,플라빅스,항혈전제 중복 복용으로 출혈 시 지혈이 안 될 수 있습니다.
아스피린,와파린,혈액이 너무 묽어져 멍이 잘 들고 내장 출혈 위험이 생깁니다.
부루펜,아스피린,두 가지 소염진통제를 겹쳐 먹으면 신장에 치명적입니다.
부루펜,탁센,소염진통제 중복 복용으로 위점막이 손상될 수 있습니다.
이지엔6,아스피린,소염진통제 성분이 중복되어 위장 장애 확률이 높아집니다.
이지엔6,탁센,동일 계열의 소염진통제는 같이 복용하지 않는 것이 원칙입니다.
글리클라지드,아스피린,당뇨약과 아스피린이 만나면 저혈당 쇼크 위험이 증가합니다.
아모디핀,자몽,자몽 성분이 혈압약의 체내 농도를 비정상적으로 높입니다.
메트포르민,조영제,CT 촬영용 조영제와 만나면 젖산 산증이라는 위험이 생깁니다.
레보플록사신,철분제,철분 영양제가 항생제의 몸속 흡수를 완전히 막아버립니다.
신지록신,칼슘제,갑상선 호르몬제가 칼슘 영양제 때문에 흡수되지 않고 배출됩니다.
우루사,피임약,호르몬성 피임약과 병용 시 간 기능 수치에 영향을 주거나 약효가 떨어질 수 있습니다.
게보린,술,아세트아미노펜 성분이 포함되어 있어 음주 후 복용 시 간 손상을 유발합니다.
펜잘,알코올,음주 상태에서 복용 시 간 독성 물질이 생성되어 간에 치명적입니다.
활명수,탄산음료,위장 운동을 과도하게 자극하여 소화 불량을 악화시킬 수 있습니다.
액티피드,전립선약,항히스타민 성분이 전립선 비대증 환자의 소변 배출을 방해할 수 있습니다.
씨잘,수면제,중추신경 억제 작용이 겹쳐 극심한 졸음이나 호흡 곤란을 유발할 수 있습니다.
지르텍,알코올,항히스타민제와 술이 만나면 어지러움과 졸음이 위험한 수준으로 심해집니다.
경구피임약,흡연,35세 이상 흡연 여성이 복용 시 혈전증 등 심혈관계 부작용이 급증합니다.
오메가3,와파린,피를 묽게 하는 성분이 겹쳐 상처 시 지혈이 장시간 안 될 수 있습니다.
홍삼,당뇨약,홍삼이 혈당을 낮추는 약효를 너무 강하게 만들어 저혈당을 유발합니다.
프로바이오틱스,항생제,항생제가 유산균을 모두 죽여버리므로 2시간 이상 간격을 두고 먹어야 합니다.
루테인,비타민A,비타민A 성분이 과다 흡수되어 두통이나 피부 건조 등 부작용이 생깁니다.
고혈압약,요오드,일부 혈압약은 요오드 영양제와 만나면 고칼륨혈증을 일으킬 수 있습니다.
종합감기약,커피,카페인 과다 섭취로 인해 심장 두근거림과 불면증이 심해집니다.
모니플루메이트,이부프로펜,비스테로이드성 소염진통제 중복으로 위장관 궤양 및 출혈 위험이 커집니다.
록소프로펜,나프록센,동일한 소염진통제 계열 병용으로 신장 기능에 심각한 무리를 줍니다.
클로피도그렐,오메프라졸,위산분비억제제가 항혈전제의 약효를 떨어뜨려 혈전 발생 위험을 높입니다.
심바스타틴,자몽주스,고지혈증 약물이 몸에 과도하게 쌓여 근육통이나 근육 녹음 증상을 유발합니다.
아토르바스타틴,레보플록사신,고지혈증 약과 특정 항생제가 만나면 근육 부작용 위험이 증가합니다.
시프로플록사신,커피,항생제가 카페인 대사를 방해하여 심장 두근거림과 극심한 불안감을 유발합니다.
테트라사이클린,우유,우유 속 칼슘 성분이 항생제와 결합해 약효를 완전히 무력화시킵니다.
독시사이클린,철분제,빈혈약(철분)이 항생제의 흡수를 방해하여 감염증 치료를 방해합니다.
알레락,감기약,콧물약 성분이 중복되어 심한 졸음, 입마름, 시야 흐림을 유발할 수 있습니다.
시네츄라,코데인,기침약 성분이 과도하게 중복되어 중추신경 억제 및 호흡 저하 위험이 있습니다.
뮤코펙트,진해제,가래 배출을 돕는 약과 기침을 멈추는 약을 잘못 섞으면 가래가 고여 폐렴 위험이 생깁니다.
알마겔,디곡신,위장약(제산제)이 심장약의 흡수를 막아 심장 질환 치료 효과를 떨어뜨립니다.
큐란,시메티딘,동일한 위장약 성분이 겹쳐 두통, 현기증 및 혼동 증상이 생길 수 있습니다.
스틸녹스,알코올,수면제와 술이 만나면 몽유병, 기억상실, 심하면 호흡 마비로 이어집니다.
할시온,항진균제,무좀약이 수면제 대사를 막아 수면 성분이 몸에 치명적으로 오래 남게 됩니다.
자낙스,디아제팜,신경안정제 중복 복용으로 강한 졸음과 낙상 위험이 크게 증가합니다.
리리카,가바펜틴,신경통 치료제 중복으로 어지러움, 보행 장애, 부종이 심해집니다.
트라마돌,항우울제,중추신경에 작용하는 약들이 부딪혀 고열과 발작을 일으키는 세로토닌 증후군 위험이 있습니다.
페니토인,항암제,간 대사에 영향을 주어 약물 독성이 급격히 올라가거나 효과가 없어집니다.
멜록시캄,셀레브렉스,관절염 약물 중복 복용으로 위장관 궤양 발생률이 극도로 높아집니다.
prednisolone,이부프로펜,스테로이드제와 소염진통제가 만나면 위출혈 위험이 4배 이상 증가합니다.
소론도,아스피린,스테로이드 성분이 피를 맑게 하는 약과 만나 위장관 벽을 심하게 손상시킵니다.
와파린,비타민K,비타민K 영양제가 와파린의 혈액 항응고 효과를 완벽하게 방해하여 혈전을 만듭니다.
딜라트렌,센트룸,일부 종합영양제 속 미네랄이 혈압약의 흡수율에 영향을 줄 수 있습니다.
코자,스피로노락톤,혈압약과 이뇨제가 만나 몸속 칼륨 수치를 비정상적으로 높여 심장마비 위험을 부릅니다.
다이크로짇,다이옥신,이뇨제가 칼륨을 배출시켜 심장약의 독성을 치명적으로 끌어올립니다.
아모디핀,클래리트로마이신,특정 항생제가 혈압약 분해를 막아 급격한 저혈압과 기절을 유발합니다.
디옥신,에리스로마이신,항생제 때문에 심장약 농도가 높아져 부정맥을 유발할 수 있습니다.
디티아젬,베라파밀,동일한 계열의 심장 혈관약 중복으로 서맥을 일으킵니다.
아미오다론,플루코나졸,부정맥 약과 무좀약이 만나면 심장 박동이 멈추는 치명적인 부정맥이 올 수 있습니다.
니트로글리세린,비아그라,협심증 약과 발기부전 치료제가 만나면 혈압이 완전히 폭락하여 사망에 이를 수 있습니다.
탐스로신,시알리스,전립선약과 특정 약물이 만나면 기립성 저혈압으로 심하게 어지러울 수 있습니다.
피나스테리드,두타스테리드,탈모 및 전립선 약물이 중복되어 호르몬 불균형과 부작용이 심해집니다.
베시케어,하루날디,비뇨기과 약물 조합 시 입마름, 변비, 시야 흐림 증상이 가중됩니다.
프로스카,전립선약,동일 기전의 호르몬 조절제 중복 복용은 절대 금기입니다.
포사맥스,칼슘제,골다공증 약과 칼슘제를 동시에 삼키면 약이 흡수되지 않으므로 아침 공복에 30분 간격을 둬야 합니다.
에비스타,와파린,골다공증 치료제가 항응고제의 효과를 변화시키므로 혈액 검사가 필요합니다.
알포아티린,동일성분약,치매 증상 치료제가 중복 복용되면구토, 설사, 극심한 졸음이 옵니다.
도네페질,항콜린제,치매약의 효과를 감기약이나 위장약 속에 든 항콜린 성분이 완전히 상쇄시켜 버립니다.
레보도파,비타민B6,비타민B6를 과다 섭취하면 파킨슨병 약이 뇌로 가기 전에 파괴되어 효과가 없어집니다.
마도파,항정신병약,파킨슨 약의 도파민 효과를 정신과 약물이 막아서 증상이 급격히 악화됩니다.
리페리돈,로라제팜,정신과 약물 조합 시 과도한 진정 작용으로 호흡이 느려질 수 있어 관찰이 필요합니다.
데파코트,바보산,간 대사를 공유하여 혈중 약물 농도가 널뛰기하므로 독성 발현 위험이 있습니다.
테오필린,시프로플록사신,천식 치료제와 항생제가 만나면 천식 약 독성이 올라가 발작을 유발합니다.
벤토린,베타차단제,천식 흡입제와 특정 혈압약이 서로의 효과를 완벽히 상쇄합니다.
싱귤레어,항전간제,천식 약의 효과가 간 대사 촉진으로 인해 떨어질 수 있습니다.
유시락스,수면제,강한 항히스타민 효과와 수면제가 만나 아침에 일어나기 힘들 정도의 진정 작용이 옵니다.
알레그라,제산제,알루미늄/마그네슘 위장약이 알레르기 약의 흡수를 60% 이상 떨어뜨립니다.
스포라녹스,식초,일부 무좀약은 위산이 있어야 흡수되므로 제산제와 같이 먹으면 효과가 제로가 됩니다.
라미실,시메티딘,위장약이 무좀약의 체내 분해를 방해하여 피부 부작용 위험을 높입니다.
펜터민,항우울제,식욕억제제와 우울증 약이 만나면 환각, 고혈압, 뇌졸중 위험이 생깁니다.
큐시미아,알코올,다이어트 약 복용 중 술을 마시면 극심한 어지러움과 우울증, 발작 위험이 있습니다.
콘서타,마오억제제,ADHD 치료제와 특정 정신과 약이 만나면 치명적인 고혈압 위기가 옵니다.
아토목세틴,플루오세틴,ADHD 약의 분해가 막혀 심장 박동수가 위험할 정도로 빨라집니다.
콜킨,클래리트로마이신,통풍 치료제와 항생제가 만나면 콜킨의 독성이 몸에 쌓여 치명적인 골수 억제가 옵니다.
자이로릭,아자치오프린,통풍 약이 면역억제제의 분해를 막아 백혈구가 급격히 감소하는 부작용이 생깁니다.
소프라민,철분제,위산분비억제제가 위산을 없애면 철분 영양제가 몸에 녹지 않아 흡수가 안 됩니다.
넥시움,와파린,위장약이 혈전 약의 농도를 변화시키므로 주의 깊은 모니터링이 필요합니다.
타케캡,아스피린,최신 위장약과 아스피린 조합 시 출혈 경향에 대한 추적이 필요합니다.
스티렌,항생제,위점막 보호제와 특정 약물 간의 흡수 저해 상호작용이 있을 수 있습니다.
가스모틴,위장관운동조절제,동일 목적의 위장약을 과다 복용하면 복통과 설사를 유발합니다.
포리부틴,항콜린제,장 운동 조절제가 다른 신경계 약물과 만나 변비를 악화시킬 수 있습니다.
노르바스크,녹차,녹차의 탄닌 성분이 일부 혈압약의 성분을 침전시켜 흡수율을 떨어뜨릴 수 있습니다.
세레브렉스,와파린,소염진통제가 소화관 출혈 위험을 높여 항응고제와 함께 쓰면 위험합니다.
탁센,이부프로펜,같은 소염진통제끼리 과다 중복되어 위장과 신장에 큰 부담을 줍니다.
낙센,부루펜,동일 계열 비스테로이드성 진통제 중복 복용으로 부작용이 가중됩니다.
이모튼,소염진통제,골관절염 치료제로 진통제와 함께 쓸 때 이상 반응이 없는지 관찰해야 합니다.
조코,자몽주스,고지혈증 약물이 체내에서 파괴되지 않고 쌓여 근육 독성을 일으킵니다.
리피토,오렌지주스,일부 감귤류 과일 주스는 고지혈증 약의 부작용 가능성을 높입니다.
크레스토,제산제,마그네슘 위장약을 같이 먹으면 고지혈증 약의 흡수가 방해받아 효과가 감소합니다.
리피로우,시클로스포린,면역억제제와 만나면 고지혈증 약의 혈중 농도가 위험하게 급증합니다.
아토젯,항생제,특정 매크로라이드계 항생제와 병용 시 근육 손상 위험이 커집니다.
클래시드,테오필린,항생제가 기관지 확장제의 대사를 억제해 신경과민과 구토를 유발합니다.
지스로맥스,제산제,알루미늄 성분의 제산제가 항생제의 혈중 최고 농도를 낮추어 효과를 떨어뜨립니다.
바난,위장약,위장약이 위산도를 낮추면 항생제의 흡수가 현저히 감소하여 감염증 치료를 방해합니다.
메이액트,제산제,제산제 복용 후 최소 2시간 후에 항생제를 복용해야 약효가 유지됩니다.
큐란,맥페란,위장약과 구토방지제가 만나면 졸음이나 안절부절못하는 증상이 심해질 수 있습니다.
파리에트,아타자나비어,위산분비억제제가 에이즈 치료제의 흡수를 심각하게 방해합니다.
가스터,아스피린,위점막을 보호하지만 소염진통제 계열의 근본적인 출혈 위험은 여전히 감시해야 합니다.
무코스타,비스테로이드성소염제,진통제로 인한 위장 장애를 방어하기 위해 자주 병용되나 상호작용을 체크해야 합니다.
스틸녹스,항우울제,수면제와 우울증 약이 중추신경을 과하게 눌러 심한 몽롱함과 낙상을 유발합니다.
달마돔,술,강한 수면 유도 성분과 알코올이 만나면 호흡 마비 등 치명적인 사고가 일어날 수 있습니다.
졸피뎀,음주,술이 약물의 수면 진정 작용을 억제 불가능한 수준으로 증폭시켜 위험합니다.
아티반,수면제,신경안정제와 수면제가 겹치면 낮 시간에도 심한 졸음과 기억력 저하가 지속됩니다.
리보트릴,알코올,간질 및 공황장애 약이 술과 만나면 심장 박동과 호흡이 위험하게 느려집니다.
알프람,수면제,불안증 치료제가 수면제와 겹치면 중추신경 과다 억제로 위험한 진정 상태가 됩니다.
센시발,감기약,일부 우울증 약과 콧물감기약이 만나면 입마름과 소변 정체 증상이 악화됩니다.
렉사프로,아스피린,우울증 약이 혈소판 기능을 억제해 아스피린과 만나면 출혈 위험이 크게 증가합니다.
졸로푸트,이부프로펜,진통제와 항우울제 병용 시 위장관 출혈 및 위궤양 발생 확률이 급증합니다.
스타브론,신경안정제,우울증 약과 안정제 중복 시 졸음과 집중력 저하가 크게 심해집니다.
데파코트,아스피린,간질약과 아스피린이 만나면 간질약의 독성이 올라가 세포 손상을 줄 수 있습니다.
키포락스,유산균,강력한 항생제 성분이 유산균을 즉시 사멸시키므로 반드시 시간차를 둬야 합니다.
크라비트,멀티비탄민,비타민 속 아연, 구리 등 미네랄이 항생제의 장내 흡수를 방해합니다.
바라크루드,종합영양제,일부 간염 치료제는 영양제 속 특정 미네랄과 간 대사 경쟁을 할 수 있습니다.
비리어드,소염진통제,항바이러스제와 소염진통제가 동시에 신장에 무리를 주어 신부전을 유발할 수 있습니다.
소포스부비어,제산제,C형간염 치료제는 위산이 없으면 녹지 않아 제산제와 병용 시 약효가 사라집니다.
그리메피리드,부루펜,소염진통제가 당뇨약의 작용을 강화시켜 위험한 급성 저혈당을 유발할 수 있습니다.
아마릴,술,당뇨약을 먹는 중에 음주를 하면 유산산증이나 치명적인 저혈당 쇼크가 올 수 있습니다.
다이아벡스,술,당뇨약과 알코올이 만나면 간에서 유산 대사가 막혀 치명적인 복통과 산증이 발생합니다.
자누비아,이부프로펜,일부 당뇨 환자가 진통제를 과다 복용 시 신장 기능을 떨어뜨려 당뇨약 배출을 막습니다.
트라젠타,비타민C,고용량 비타민C는 일부 혈당 측정기의 화학 반응에 간섭하여 당뇨 환자의 혈당 수치 결과에 오류를 줄 수 있습니다.
포시가,이뇨제,소변으로 혈당을 빼는 당뇨약과 이뇨제가 만나면 극심한 탈수 현상과 기절이 올 수 있습니다.
자디앙,혈압약,탈수 위험이 같이 커지므로 특별히 수분 섭취를 신경 써야 합니다.
수프락스,우유,일부 항생제는 우유 속 칼슘과 엉겨 붙어 몸 밖으로 그냥 배출되어 버립니다.
세파클러,철분제,철분 영양제가 항생제 성분을 흡착해 약효를 크게 떨어뜨립니다.
오구멘틴,유산균,강한 광범위 항생제이므로 유산균 영양제를 먹어도 유산균이 전멸할 수 있으니 시간 간격을 둬야 합니다.
타미플루,종합감기약,독감약과 일반 감기약을 막 섞어 먹으면 약물 성분이 과도하게 중복될 위험이 있습니다.
조비락스,소염진통제,대상포진 항바이러스제와 진통제가 만나 신장에 독성 부담을 가중시킵니다.
싱귤레어,아스피린,일부 천식 환자가 아스피린을 먹으면 '아스피린 유발성 천식 발작'이 올 수 있어 극도로 위험합니다.
노바스크,인삼,인삼이나 홍삼 성분이 혈압약의 혈압 강하 작용을 방해해 혈압 조절이 안 될 수 있습니다.
딜라트렌,알코올,심장 혈관약과 술이 만나면 급격한 혈압 저하 및 실신, 심한 어지러움증을 유발합니다.
콩코르,부루펜,비스테로이드성 진통제가 고혈압약의 심장 보호 효과 및 혈압 낮추는 효과를 방해합니다.
디옥신,감초,한약재 감초는 몸속 칼륨을 배출시켜 심장약 디옥신의 독성을 치명적으로 높입니다.
와파린,양배추,양배추나 브로콜리에 많은 비타민K가 피를 맑게 하는 약의 효과를 완전히 무력화시킵니다.
플라빅스,당근,당근 속 특정 성분이 간 대사에 영향을 주어 항혈전제의 약효를 변화시킬 수 있으니 과다 섭취는 금물입니다.
릭시아나,이지엔6,최신 항응고제와 소염진통제를 병용 시 뇌출혈이나 위장관 대량 출혈 위험이 크게 증가합니다.
엘리퀴스,아스피린,피를 맑게 하는 약을 중복 복용하면 잇몸 출혈이나 지혈 불량 부작용이 심해집니다.
자렐토,자몽,자몽의 효소 억제 기능이 약물의 체내 농도를 비정상적으로 높여 출혈 부작용을 일으킵니다.
아토르바스타틴,레드와인,고지혈증 약 복용 중 과도한 음주는 간 수치를 급격히 올리고 근육통을 유발합니다.
로수바스타틴,콩즙,단백질 보충제나 두유의 특정 성분이 약물 흡수율에 미세한 영향을 줄 수 있으므로 시간차 복용이 좋습니다.
피타바스타틴,에리스로마이신,특정 항생제와 병용 시 고지혈증 약물의 독성이 체내에 쌓여 신장을 망가뜨립니다.
메트포르민,치즈,유제품 속 많은 칼슘 성분이 당뇨약의 위장 장애(구토, 설사) 부작용을 악화시킬 수 있습니다.
글리메피리드,마늘엑기스,고농축 마늘 성분이 당뇨약과 만나면 혈당을 지나치게 떨어뜨려 식은땀과 저혈당을 유발합니다.
자누비아,스테로이드,염증 치료용 스테로이드 약물은 혈당을 폭발적으로 올리므로 당뇨약의 효과를 무력화시킵니다.
포시가,맥주,맥주 속 알코올과 당뇨약의 이뇨 작용이 합쳐지면 심각한 탈수 및 유산산증 쇼크가 올 수 있습니다.
아모디핀,석류주스,석류도 자몽과 유사한 성분이 있어 혈압약의 대사를 방해해 급격한 저혈압을 유발할 수 있습니다.
스타브론,커피,카페인이 우울증 약의 진정 작용을 방해하고 심장 두근거림을 유발하여 불안증을 악화시킵니다.
센시발,종합감기약,정신과 약과 감기약의 항히스타민 성분이 만나면 소변이 안 나오는 급성 요폐가 올 수 있습니다.
리보트릴,종합감기약,신경안정제와 감기약을 같이 먹으면 중추신경이 과도하게 억제되어 극심한 졸음이 옵니다.
우루사,고지혈증약,일부 간장약과 고지혈증약은 간에서 대사 경로가 겹쳐 간 수치 변화를 주의 깊게 봐야 합니다.
경구피임약,비타민C,고용량 비타민C를 피임약과 같이 먹으면 피임약 속 에스트로겐 농도가 급격히 올라가 혈전 위험이 생깁니다.
이모튼,아스피린,관절염 약과 아스피린을 병용 시 혈액 응고 기전에 미세한 변화가 생길 수 있어 주의가 필요합니다.
알마겔,철분제,제산제 속 알루미늄과 마그네슘이 철분 영양제와 결합해 철분이 몸에 흡수되지 못하게 막습니다.
개비스콘,항생제,위장약 코팅 성분이 장내 산도를 바꾸어 항생제 알약이 녹는 것을 방해합니다.
넥시움,철분제,강력한 위산 분비 억제 효과 때문에 위산이 부족해져 철분 영양제가 몸에서 녹지 않습니다.
훼로바,우유,빈혈약(철분제)을 우유와 함께 마시면 칼슘 성분이 철분 흡수를 완벽하게 차단합니다.
센트룸,항생제,종합영양제 속 철분, 아연, 마그네슘이 항생제 성분을 꽉 붙잡아 약효를 없애버립니다.
비타민D,제산제,제산제를 오래 복용하면 비타민D의 대사에 영향을 주어 칼슘 흡수율이 떨어질 수 있습니다.
오메가3,이지엔6,오메가3의 피를 맑게 하는 효과와 진통제의 위장 출혈 부작용이 만나 위벽에 상처를 주기 쉽습니다.
루테인,담배,흡연자가 루테인 및 베타카로틴 성분을 고용량으로 장기 복용 시 폐암 발생률이 높아진다는 연구가 있습니다.
프로바이오틱스,오렌지주스,강한 산성 주스는 유산균 영양제의 살아있는 균을 장에 가기 전에 죽일 수 있으므로 물과 먹는 게 좋습니다.
홍삼,혈압약,홍삼이 면역을 올리면서 혈압을 미세하게 상승시켜 혈압약의 효과를 떨어뜨릴 수 있습니다.
밀크씨슬,피임약,간 대사를 활성화하는 밀크씨슬이 피임약 호르몬을 너무 빨리 분해해 피임 성공률을 떨어뜨릴 수 있습니다.
글루코사민,당뇨약,관절 영양제인 글루코사민(당 성분 기반)이 당뇨 환자의 혈당 수치를 오르게 방해할 수 있습니다.
스틸녹스,종합감기약,수면제와 감기약 속 졸린 성분이 결합하면 자는 동안 호흡 수 감소 등 위험한 상황이 생깁니다.
할시온,자몽,자몽주스가 수면 유도제의 분해를 막아 다음날 낮까지 심한 몽롱함과 비틀거림을 유발합니다.
자낙스,더치커피,고농축 카페인이 신경안정제의 불안 완화 효과를 완벽하게 차단해 약을 먹으나 마나 하게 만듭니다.
리리카,종합감기약,신경통 약물 복용 중 감기약을 먹으면 어지러움증이 두 배로 심해져 넘어지기 쉽습니다.
트라마돌,술,마약성 진통제 성분과 알코올이 만나면 뇌의 호흡 중추를 마비시킬 수 있어 절대 금기입니다.
펜터민,에너지드링크,다이어트 나비약과 고카페인 음료가 만나면 심장이 터질 듯이 뛰고 극심한 불면증과 공황이 옵니다.
콘서타,커피,ADHD 치료제의 교감신경 흥분 작용과 카페인이 더해져 혈압이 오르고 손발이 심하게 떨립니다.
콜킨,자몽,통풍 치료제를 먹을 때 자몽을 먹으면 약물 분해가 안 되어 치명적인 전신 독성(골수 손상)이 옵니다.
티로파,감기약,위장 진경제와 감기약의 콧물약 성분이 겹치면 입이 타들어 가듯 마르고 시야가 흐려집니다.
세파클러,탄산음료,음료의 강한 산성이 항생제의 화학 구조를 변형시켜 약효를 떨어뜨립니다.
클래리트로마이신,초콜릿,카카오 성분이 항생제 대사에 영향을 주어 심장 두근거림을 유발할 수 있습니다.
에리스로마이신,자몽,특정 항생제가 자몽 성분과 만나면 혈중 농도가 위험하게 상승합니다.
시프로플록사신,요구르트,유제품 속 칼슘이 항생제 흡수를 완전히 방해하므로 시간차를 두어야 합니다.
레보플록사신,종합비타민,비타민 속 미네랄과 아연 성분이 항생제 효과를 무력화시킵니다.
독시사이클린,치즈,유제품의 칼슘 성분이 항생제 알약과 엉겨 붙어 몸 밖으로 배출됩니다.
미노신,철분제,여드름 항생제와 빈혈약(철분)이 만나면 두 약 모두 흡수가 안 됩니다.
테트라사이클린,마그네슘,제산제나 영양제 속 마그네슘이 항생제 흡수를 차단합니다.
타미플루,술,독감 치료제 복용 중 음주는 신경계 부작용(환각, 일시적 정신 이상) 위험을 높입니다.
조비락스,부루펜,대상포진 약과 소염진통제가 동시에 신장에 과도한 부담을 줍니다.
