약이름,금기성분,부작용사유
종합감기약,펜잘,일반 감기약과 진통제 속 해열 성분이 중복되어 급성 간부전을 일으킬 수 있습니다.
코메아시럽,콧물약,기침 콧물 시럽과 알약이 중복되면 아이가 심하게 보채거나 반대로 과진정 상태가 됩니다.
시네츄라,가래약,가래 배출 성분이 중복 복용되면 장운동 교란 및 구토 증상이 악화될 수 있습니다.
알마겔,디곡신,위장약(제산제)이 심장약의 흡수를 막아 심장 질환 치료 효과를 떨어뜨립니다.
큐란,시메티딘,동일한 위장약 성분이 겹쳐 두통, 현기증 및 혼동 증상이 생길 수 있습니다.
스틸녹스,알코올,수면제와 술이 만나면 몽유병, 기억상실, 심하면 호흡 마비로 이어집니다.
할시온,항진균제,무좀약이 수면제 대사를 막아 수면 성분이 몸에 치명적으로 오래 남게 됩니다.
자낙스,디아제팜,신경안정제 중복 복용으로 강한 졸음과 낙상 위험이 크게 증가합니다.
리리카,가바펜틴,신경통 치료제 중복으로 어지러움, 보행 장애, 부종이 심해집니다.
트라마돌,항우울제,중추신경에 작용하는 약들이 부딪혀 고열과 발작을 일으키는 세로토닌 증후군 위험이 있습니다.
페니토인,항암제,간 대사에 영향을 주어 약물 독성이 급격히 올라가거나 효과가 없어집니다.
멜록시캄,셀레브렉스,관절염 약물 중복 복용으로 위장관 궤양 발생률이 극도로 높아집니다.
소론도,이부프로펜,스테로이드제와 소염진통제가 만나면 위출혈 위험이 4배 이상 증가합니다.
소론도,아스피린,스테로이드 성분이 피를 맑게 하는 약과 만나 위장관 벽을 심하게 손상시킵니다.
와파린,비타민K,비타민K 영양제가 와파린의 혈액 항응고 효과를 완벽하게 방해하여 혈전을 만듭니다.
딜라트렌,센트룸,일부 종합영양제 속 미네랄이 혈압약의 흡수율에 영향을 줄 수 있습니다.
코자,스피로노락톤,혈압약과 이뇨제가 만나 몸속 칼륨 수치를 비정상적으로 높여 심장마비 위험을 부릅니다.
다이크로짇,다이옥신,이뇨제가 칼륨을 배출시켜 심장약의 독성을 치명적으로 끌어올립니다.
아모디핀,클래리트로마이신,특정 항생제가 혈압약 분해를 막아 급격한 저혈압과 기절을 유발합니다.
디옥신,에리스로마이신,항생제 때문에 심장약 농도가 높아져 부정맥을 유발할 수 있습니다.
디티아젬,베라파밀,동일한 계열의 심장 혈관약 중복으로 서맥을 일으킵니다.
아미오다론,플루코나졸,부정맥 약과 무좀약이 만나면 심장 박동이 멈추는 치명적인 부정맥이 올 수 있습니다.
니트로글리세린,비아그라,협심증 약과 발기부전 치료제가 만나면 혈압이 완전히 폭락하여 사망에 이를 수 있습니다.
탐스로신,시알리스,전립선약과 특정 약물이 만나면 기립성 저혈압으로 심하게 어지러울 수 있습니다.
피나스테리드,두타스테리드,탈모 및 전립선 약물이 중복되어 호르몬 불균형과 부작용이 심해집니다.
베시케어,하루날디,비뇨기과 약물 조합 시 입마름, 변비, 시야 흐림 증상이 가중됩니다.
프로스카,전립선약,동일 기전의 호르몬 조절제 중복 복용은 절대 금기입니다.
포사맥스,칼슘제,골다공증 약과 칼슘제를 동시에 삼키면 약이 흡수되지 않으므로 아침 공복에 30분 간격을 둬야 합니다.
에비스타,와파린,골다공증 치료제가 항응고제의 효과를 변화시키므로 혈액 검사가 필요합니다.
알포아티린,동일성분약,치매 증상 치료제가 중복 복용되면 구토, 설사, 극심한 졸음이 옵니다.
도네페질,항콜린제,치매약의 효과를 감기약이나 위장약 속에 든 항콜린 성분이 완전히 상쇄시켜 버립니다.
레보도파,비타민B6,비타민B6를 과다 섭취하면 파킨슨병 약이 뇌로 가기 전에 파괴되어 효과가 없어집니다.
마도파,항정신병약,파킨슨 약의 도파민 효과를 정신과 약물이 막아서 증상이 급격히 악화됩니다.
리페리돈,로라제팜,정신과 약물 조합 시 과도한 진정 작용으로 호흡이 느려질 수 있어 관찰이 필요합니다.
데파코트,바보산,간 대사를 공유하여 혈중 약물 농도가 널뛰기하므로 독성 발현 위험이 있습니다.
테오필린,시프로플록사신,천식 치료제와 항생제가 만나면 천식 약 독성이 올라가 발작을 유발합니다.
벤토린,베타차단제,천식 흡입제와 특정 혈압약이 서로의 효과를 완벽히 상쇄합니다.
싱귤레어,항전간제,천식 약의 효과가 간 대사 촉진으로 인해 떨어질 수 있습니다.
유시락스,수면제,강한 항히스타민 효과와 수면제가 만나 아침에 일어나기 힘들 정도의 진정 작용이 옵니다.
알레그라,제산제,알루미늄/마그네슘 위장약이 알레르기 약의 흡수를 60% 이상 떨어뜨립니다.
스포라녹스,식초,일부 무좀약은 위산이 있어야 흡수되므로 제산제와 같이 먹으면 효과가 제로가 됩니다.
라미실,시메티딘,위장약이 무좀약의 체내 분해를 방해하여 피부 부작용 위험을 높입니다.
펜터민,항우울제,식욕억제제와 우울증 약이 만나면 환각, 고혈압, 뇌졸중 위험이 생깁니다.
큐시미아,알코올,다이어트 약 복용 중 술을 마시면 극심한 어지러움과 우울증, 발작 위험이 있습니다.
콘서타,마오억제제,ADHD 치료제와 특정 정신과 약이 만나면 치명적인 고혈압 위기가 옵니다.
아토목세틴,플루오세틴,ADHD 약의 분해가 막혀 심장 박동수가 위험할 정도로 빨라집니다.
콜킨,클래리트로마이신,통풍 치료제와 항생제가 만나면 콜킨의 독성이 몸에 쌓여 치명적인 골수 억제가 옵니다.
자이로릭,아자치오프린,통풍 약이 면역억제제의 분해를 막아 백혈구가 급격히 감소하는 부작용이 생깁니다.
소프라민,철분제,위산분비억제제가 위산을 없애면 철분 영양제가 몸에 녹지 않아 흡수가 안 됩니다.
넥시움,와파린,위장약이 혈전 약의 농도를 변화시키므로 주의 깊은 모니터링이 필요합니다.
타케캡,아스피린,최신 위장약과 아스피린 조합 시 출혈 경향에 대한 추적이 필요합니다.
스티렌,항생제,위점막 보호제와 특정 약물 간의 흡수 저해 상호작용이 있을 수 있습니다.
가스모틴,위장관운동조절제,동일 목적의 위장약을 과다 복용하면 복통과 설사를 유발합니다.
포리부틴,항콜린제,장 운동 조절제가 다른 신경계 약물과 만나 변비를 악화시킬 수 있습니다.
멜록시캄,아스피린,소염진통제와 피를 맑게 하는 약이 만나면 위장관 대량 출혈 위험이 발생합니다.
셀레브렉스,이부프로펜,다른 계열의 소염진통제를 겹쳐 먹으면 신장 필터가 망가질 수 있습니다.
에어탈,탁센,관절염 약과 소염진통제 중복 복용으로 위벽에 심각한 상처가 생깁니다.
낙센,부루펜,동일 계열의 비스테로이드성 진통제 과다 복용은 신장 독성을 유발합니다.
울트라셋,술,아세트아미노펜이 섞인 마약성 진통제와 술은 급성 간부전을 일으키는 치명적 조합입니다.
타마돌,항우울제,진통제와 우울증 약이 만나면 고열과 발작을 일으키는 세로토닌 증후군 위험이 있습니다.
뉴론틴,제산제,신경통 약을 위장약(제산제)과 같이 먹으면 흡수가 안 되므로 2시간을 띄워야 합니다.
가바펜틴,종합감기약,신경통 치료제 복용 중 감기약을 먹으면 현기증이 심해져 낙상 위험이 생깁니다.
리리카,맥주,신경성 통증 약과 술이 만나면 극심한 졸음과 호흡 억제 부작용이 옵니다.
소론도,이지엔6,스테로이드 약과 소염진통제를 병용하면 위출혈 위험이 4배 이상 급증합니다.
덱사메타손,아스피린,강력한 스테로이드가 아스피린과 만나 위장관 벽을 심하게 손상시킵니다.
신지록신,에스프레소,갑상선 약은 카페인과 만나면 흡수가 완전히 막히므로 반드시 맹물과 공복에 먹어야 합니다.
신지록신,멀티비타민,영양제 속 철분과 칼슘 성분이 갑상선 호르몬제의 체내 흡수를 차단합니다.
씬지로이드,철분제,빈혈약이 갑상선 호르몬을 꽉 붙잡아 약효 없이 몸 밖으로 배출시킵니다.
씬지로이드,우유,유제품 속 칼슘이 갑상선 약의 장내 흡수를 방해하므로 시간 간격을 두어야 합니다.
노바스크,요오드영양제,일부 혈압약은 요오드 성분과 만나면 고칼륨혈증을 유발해 심장에 무리를 줍니다.
아모디핀,자몽청,자몽 성분이 혈압약 분해를 막아 급격한 저혈압과 기절을 유발할 수 있습니다.
딜라트렌,알코올,심장 혈관약과 술이 만나면 혈압이 폭락하여 어지러움과 실신을 부릅니다.
콩코르,부루펜,소염진통제가 고혈압약의 혈압 낮추는 효과와 심장 보호 효과를 방해합니다.
코자,바나나칩,칼륨이 풍부한 음식을 특정 혈압약과 과다 섭취 시 고칼륨혈증 쇼크 위험이 있습니다.
스피로노락톤,칼슘제,이뇨제와 칼슘 영양제가 만나면 혈중 미네랄 수치가 비정상적으로 널뛰기합니다.
다이크로짇,한약감초,이뇨제가 칼륨을 빼는 와중에 감초까지 먹으면 저칼륨혈증으로 근육이 마비됩니다.
디옥신,감초엑기스,한약재 감초는 심장약 디옥신의 독성을 치명적인 수준으로 끌어올립니다.
베라파밀,자몽주스,맥박 조절 약물이 자몽과 만나면 심장이 너무 느리게 뛰는 서맥이 발생합니다.
딜티아젬,플라빅스,혈관 확장 효과와 항혈전 효과가 부딪혀 멍이 심하게 들거나 지혈이 안 됩니다.
니트로글리세린,비아그라,협심증 약과 발기부전 치료제가 만나면 혈압이 치명적으로 떨어져 사망할 수 있습니다.
탐스로신,시알리스,전립선약과 특정 약물이 결합하면 기립성 저혈압으로 심한 현기증이 옵니다.
하루날디,레드와인,비뇨기과 약 복용 중 음주는 혈관을 과도하게 넓혀 실신을 유발합니다.
피나스테리드,두타스테리드,탈모 치료 성분을 중복해서 먹으면 호르몬 불균형과 간 손상만 심해집니다.
프로스카,아보다트,동일한 전립선/탈모 호르몬 억제제를 겹쳐 복용하는 것은 절대 금기입니다.
베시케어,액티피드,비뇨기과 약과 감기 콧물약이 만나면 항콜린 효과가 겹쳐 소변이 안 나오게 됩니다.
포사맥스,치즈,골다공증 약을 유제품과 함께 삼키면 칼슘과 엉겨 붙어 약효가 완전히 사라집니다.
에비스타,와파린,골다공증 치료제가 항응고제의 피를 맑게 하는 효과를 교란하므로 주의해야 합니다.
도네페질,종합감기약,감기약 속 콧물 억제 성분이 치매 환자의 뇌 기능을 치명적으로 방해합니다.
알포아티린,더치커피,뇌 대사 개선제와 고카페인이 만나면 심한 두통과 극심한 불면증이 생깁니다.
레보도파,비타민B6,고용량 비타민B6가 파킨슨병 약이 뇌로 가기 전에 길목에서 파괴해 버립니다.
마도파,자낙스,파킨슨 약물과 신경안정제가 만나면 온몸의 진정 작용이 과해져 낙상 사고가 납니다.
뮤코펙트,코데인시럽,가래를 녹이는 약과 기침을 멈추는 시럽을 잘못 섞으면 폐에 가래가 고여 위험합니다.
시네츄라,타이레놀,기침 시럽 속 해열 성분과 진통제가 과도하게 중복되어 간에 무리를 줍니다.
알레락,지르텍,두 가지 알레르기 콧물약을 겹쳐 먹으면 하루 종일 잠에서 깨지 못하게 됩니다.
지르텍,막걸리,콧물약과 술이 만나면 중추신경 억제 작용이 겹쳐 심한 졸음과 현기증이 옵니다.
씨잘,스틸녹스,항히스타민제와 강력한 수면제가 만나면 자는 동안 호흡수가 위험하게 가라앉습니다.
알레그라,겔포스,위장약의 알루미늄이 알레르기 약의 장내 흡수를 방해해 효과를 없애버립니다.
유시락스,데파코트,강한 가려움증 약과 간질 약이 만나면 과진정 상태가 되어 위험할 수 있습니다.
스틸녹스,렉사프로,수면제와 우울증 약을 함께 먹으면 밤에 기억 없이 돌아다니는 몽유병 부작용이 생깁니다.
졸피뎀,위스키,수면제 복용 직후 음주는 호흡 중추 마비나 일시적 기억상실을 부르는 절대 금기입니다.
할시온,자몽,자몽주스가 수면 유도제의 간 분해를 막아 다음날 낮까지 심한 몽롱함을 유발합니다.
아티반,자낙스,두 가지 신경안정제를 의사 지시 없이 겹쳐 먹으면 낙상과 골절 위험이 커집니다.
리보트릴,소주,공황장애 약과 알코올이 만나면 심장 박동과 호흡이 위험한 수준으로 느려집니다.
알프람,활명수,신경안정제와 위장약 속 생약 성분이 졸음 부작용을 미세하게 자극할 수 있습니다.
자낙스,에너지드링크,고카페인이 신경안정제의 불안 완화 효과를 완벽하게 차단해 약효를 없앱니다.
렉사프로,탁센,우울증 약과 나프록센 진통제가 만나면 위장관 벽에 구멍이 뚫리는 위출혈 위험이 생깁니다.
졸로푸트,이부프로펜,항우울제와 소염진통제를 같이 먹으면 위점막 손상 확률이 4배 이상 증가합니다.
스타브론,할시온,우울증 약과 수면제가 중복되면 낮 시간대의 기억력과 집중력이 심각하게 떨어집니다.
리리카,코메아시럽,신경통 치료제 복용 중 감기 시럽을 먹으면 현기증과 어지럼증이 배로 심해집니다.
가바펜틴,개비스콘,위장약의 마그네슘이 신경통 약의 체내 흡수를 방해하므로 시간차를 둬야 합니다.
트라마돌,보드카,마약성 진통제 성분과 알코올이 섞이면 숨을 쉬지 않아 사망에 이를 수 있습니다.
페니토인,타이레놀,간질약이 간 대사를 촉진해 타이레놀의 간 독성 물질을 폭발적으로 만들어 냅니다.
멜록시캄,낙센,소염진통제를 두 종류 이상 겹쳐 먹으면 관절염은 안 낫고 위장만 피바다가 됩니다.
소론도,부루펜,스테로이드 약과 소염진통제가 만나면 소화관 궤양 및 출혈 위험이 급증합니다.
아스피린,안티푸라민,먹는 피 맑은 약과 바르는 소염진통제 성분이 만나 위장관 출혈을 유발할 수 있습니다.
플라빅스,아스피린,두 항혈전제를 중복 복용 시 뇌출혈이나 지혈 불량으로 매우 위험해집니다.
와파린,브로콜리,브로콜리 속 비타민K가 항응고제의 피를 맑게 하는 효과를 완전히 무력화시킵니다.
릭시아나,부루펜,최신 피 맑은 약과 소염진통제를 함께 쓰면 장내 대량 출혈 위험이 매우 커집니다.
엘리퀴스,탁센,항응고제와 진통제의 만남은 몸 곳곳에 쉽게 멍이 들고 피가 안 멈추는 부작용을 낳습니다.
자렐토,석류즙,석류의 특정 성분이 항응고제 분해를 방해해 출혈 경향을 비정상적으로 높집니다.
오메가3,플라빅스,피를 묽게 하는 영양제와 약이 만나 상처가 났을 때 지혈이 장시간 안 될 수 있습니다.
홍삼,아마릴,홍삼 성분이 당뇨약의 힘을 과도하게 키워 뇌 쇼크를 부르는 저혈당을 유발합니다.
프로바이오틱스,클라리시드,강력한 항생제가 영양제 속 유산균을 다 죽여버리므로 최소 2시간 뒤에 먹어야 합니다.
루테인,종합비타민,양쪽의 비타민A 성분이 겹쳐 몸에 과다 축적되면 간 손상과 두통이 생깁니다.
종합감기약,녹차,감기약 속 카페인과 녹차의 카페인이 더해져 가슴이 터질 듯이 뛰고 잠이 안 옵니다.
알마겔,철분영양제,제산제 속 미네랄 성분이 철분 영양제와 결합해 철분이 몸에 흡수되지 못하게 막습니다.
개비스콘,바난,위장약이 장내 산도를 바꾸면 항생제 알약이 제대로 녹지 않아 효과가 사라집니다.
큐란,가스터,동일한 위산 분비 억제 성분이 과도하게 겹치면 현기증과 대사 교란 부작용이 생깁니다.
넥시움,와파린,위장약이 항응고제의 혈중 농도를 변화시켜 뇌졸중 방지 효과를 떨어뜨릴 수 있습니다.
타케캡,이지엔6,최신 위장약과 소염진통제 조합 시 위는 보호되나 신장 독성 상호작용은 주의해야 합니다.
가스모틴,가스프라,위장관 운동 조절제를 중복 복용하면 장이 과도하게 쥐어짜져 복통과 설사가 옵니다.
포리부틴,씨잘,장 운동 조절제와 항히스타민 콧물약이 만나면 신경계가 겹쳐 극심한 변비가 옵니다.
훼로바,초코우유,유제품 속 칼슘과 카카오 성분이 빈혈약의 체내 흡수를 완벽하게 차단합니다.
센트룸,크라비트,종합비타민 속 아연이 항생제 성분을 꽉 붙잡아 약효를 0으로 만듭니다.
비타민D,겔포스,위장약을 장기 복용하면 비타민D 대사가 나빠져 뼈가 약해지는 부작용이 생길 수 있습니다.
오메가3,탁센,오메가3의 혈행 개선 효과와 진통제의 위벽 자극이 만나 출혈 부작용을 도울 수 있습니다.
루테인,담배,흡연자가 루테인 성분을 고용량으로 매일 먹으면 폐암 발생 위험이 높아진다는 연구가 있습니다.
밀크씨슬,피임약,간 대사를 올리는 밀크씨슬이 피임 호르몬을 너무 빨리 분해해 피임 성공률을 낮춥니다.
글루코사민,당뇨약,관절 영양제 속 당 성분이 당뇨 환자의 인슐린 효과를 방해해 혈당을 올릴 수 있습니다.
펜터민,커피,다이어트 나비약과 커피가 만나면 교감신경이 폭발해 심장 발작 및 극심한 공황이 옵니다.
큐시미아,술,식욕억제제 복용 중 음주는 환각, 극심한 우울증, 불면증 파괴를 초래합니다.
콘서타,에너지드링크,ADHD 약물과 고카페인이 더해져 혈압이 급상승하고 손발이 눈에 띄게 떨립니다.
아토목세틴,렉사프로,ADHD 약의 간 분해가 막혀 심장 박동수가 위험할 정도로 빨라져 부정맥을 부릅니다.
콜킨,자몽주스,통풍 약을 먹을 때 자몽을 먹으면 약물 분해가 안 되어 치명적인 전신 골수 독성이 옵니다.
티로파,알레락,위장 진경제와 알레르기 콧물약 성분이 겹치면 입이 타들어 가듯 마르고 시야가 흐려집니다.
아르기닌,고혈압약,아르기닌 혈관 확장 효과가 일부 혈압약과 과도하게 겹치면 급격한 어지러움이 발생합니다.
아쉬와간다,수면제,스트레스 완화 허브 영양제가 수면제와 만나면 과도한 신경 억제로 아침에 깨기 힘듭니다.
마카,호르몬제,활력 영양제 마카가 여성/남성 호르몬 조절 약물의 균형을 깨뜨릴 수 있습니다.
바코파,치매약,뇌 기능 영양제 바코파가 치매약의 신경 전달 물질 농도를 비정상적으로 높일 수 있습니다.
실리마린,고지혈증약,간장약 성분이 고지혈증 약의 간 대사를 방해해 근육통 위험을 올릴 수 있습니다.
쏘팔메토,전립선약,전립선 건강 영양제와 비뇨기과 처방약이 중복되면 혈압 저하나 현기증이 가중됩니다.
프로폴리스,항생제시럽,프로폴리스의 천연 항균 성분이 항생제와 복잡한 상호작용을 일으켜 위장을 자극할 수 있습니다.
스피루리나,면역억제제,면역을 올리는 스피루리나가 자가면역질환 처방 약물의 효과를 방해합니다.
글루타치온,항암제,고농도 항암 치료 중인 환자가 글루타치온을 과다 먹으면 항암제의 산화 약효를 방해할 수 있습니다.
이미그란,인데놀,편두통 약과 특정 혈압약(베타차단제)이 만나면 혈관이 너무 수축해 손발 저림이 심해집니다.
나라믹,시메티딘,두통약이 위장약과 만나면 대사가 느려져 머리가 더 어지럽고 메스꺼워질 수 있습니다.
졸미트립탄,프로작,편두통 치료제와 항우울제가 만나면 뇌 속 세로토닌이 폭발해 고열과 발작이 옵니다.
마이그란,커피,카페인이 든 편두통 약을 먹으며 커피를 또 마시면 심장 발작 수준의 두통이 유발됩니다.
에르고타민,클래리트로마이신,특정 두통약과 항생제가 만나면 사지 혈관이 괴사할 수 있는 절대 금기 조합입니다.
데파코트,아스피린,편두통 예방약(간질약)과 아스피린이 만나면 출혈 경향이 제어 불능으로 커집니다.
토파맥스,술,두통 예방약 복용 중 음주는 기억력을 완전히 지워버리고 극심한 어지럼증을 부릅니다.
센시발,종합감기약,신경성 두통약과 감기약 속 졸린 성분이 만나면 하루 종일 정신을 못 차립니다.
트립탄,요힘빈,편두통 약과 다이어트 성분이 만나면 혈압이 비정상적으로 치솟아 뇌졸중 위험이 생깁니다.
이디아,타이레놀,이미 아세트아미노펜이 포함된 두통약에 타이레놀을 더하면 간세포가 심각하게 파괴됩니다.
낙센,이지엔6,치과 처방 소염진통제와 시판 진통제를 겹쳐 먹으면 위벽에 구멍이 뚫리는 천공이 옵니다.
키라민,부루펜,동일한 소염진통 성분이 과도하게 중복 복용되면 신장 필터 기능이 급격히 망가집니다.
아나프록스,탁센,동일 성분의 정형외과/치과 진통제가 겹치면 급성 위출혈로 피를 토할 수 있습니다.
울트라셋,막걸리,복합 진통제 속 성분과 알코올이 만나면 숨을 멈추게 하는 뇌 마비 위험이 있습니다.
트라마돌,보드카,마약성 진통 성분과 독주가 섞이면 호흡 중추가 마비되어 사망에 이르는 절대 금기입니다.
디클로페낙,멜록시캄,관절염 약과 진통제를 의사 지시 없이 겹쳐 먹으면 장내가 피바다가 됩니다.
소론도,탁센,스테로이드 소염제와 일반 진통제가 만나면 소화관 궤양 확률이 4배 이상 상승합니다.
덱사메타손,부루펜,강력한 호르몬 염증약과 진통제 조합은 위벽을 사정없이 깎아내려 위험합니다.
메틸프레드니솔론,아스피린,스테로이드와 피 맑은 약이 만나면 위장관 대량 출혈을 자극합니다.
아스피린,케토톱,먹는 항혈전 약과 붙이는 파스 성분이 몸속에서 만나 위장 장애를 유발합니다.
포리부틴,티로파,장 운동 조절제와 진경제를 과다 중복하면 장이 멈춰 극심한 복통과 변비가 옵니다.
디세텔,씨잘,과민대장약과 알레르기 콧물약이 만나면 항콜린 효과로 입이 바짝 마르고 소변이 안 나옵니다.
스파스모멘,액티피드,위장 진경제와 종합감기약이 만나면 시야가 흐려지고 안압이 급상승해 위험합니다.
진메아시럽,콧물약,아이들 장염 시럽과 콧물약을 막 섞으면 아이가 헛소리를 하거나 과진정됩니다.
가스모틴,가스프라,위장관 운동 조절제를 두 배로 먹으면 장이 꼬이듯 아프고 설사가 폭발합니다.
알마겔,철분제,제산제 속 미네랄이 빈혈 약 성분을 꽉 붙잡아 몸 밖으로 그냥 배출시켜 버립니다.
겔포스,바난,위장약 코팅 성분이 장내를 알칼리화하면 항생제 알약이 흡수되지 않고 가라앉습니다.
큐란,가스터,이름이 다른 위산분비억제제를 중복 복용하면 대사 교란과 심한 어지럼증이 생깁니다.
넥시움,와파린,역류성식도염 약이 항응고제의 농도를 변화시켜 혈전 방지 기능을 무력화합니다.
타케캡,이지엔6,최신 위산 차단제와 진통제 조합은 위는 지키나 신장 독성 위험은 그대로 남습니다.
신지록신,자몽,갑상선 호르몬제가 자몽 성분과 만나면 대사 경로가 교란되어 약효가 널뛰기합니다.
신지록신,두유,콩 속 이소플라본이 갑상선 약의 장내 흡수를 방해하므로 아침 공복엔 피해야 합니다.
씬지로이드,센트룸,종합비타민 속 칼슘과 아연이 갑상선 호르몬의 체내 흡수를 완벽하게 차단합니다.
씬지로이드,우유,유제품 속 칼슘이 갑상선 약 성분과 엉겨 붙어 효과를 제로로 만들어 버립니다.
노바스크,요오드,일부 혈압약은 요오드 영양제와 만나면 고칼륨혈증을 유발해 심장을 위협합니다.
아모디핀,오렌지주스,감귤류 과일 주스가 혈압약 분해를 막아 비정상적인 저혈압과 쇼크를 부릅니다.
딜라트렌,에너지드링크,심장 혈관약의 맥박 조절 기능을 고카페인 음료가 완전히 방해합니다.
콩코르,부루펜,소염진통제가 고혈압약의 혈압 강하 작용과 심장 보호 효과를 방해합니다.
코자,바나나,칼륨이 너무 많은 과일과 특정 혈압약을 많이 먹으면 고칼륨혈증으로 위험해집니다.
스피로노락톤,칼슘제,이뇨제 계열 혈압약과 칼슘 영양제가 만나면 혈중 미네랄 균형이 깨집니다.
다이크로짇,감초,이뇨제가 수분을 빼는 와중에 감초를 먹으면 저칼륨혈증으로 근육이 마비됩니다.
