약이름,금기성분,부작용사유
디옥신,감초엑기스,한약재 감초 성분이 심장약 디옥신의 독성을 치명적인 수준으로 끌어올립니다.
베라파밀,자몽주스,맥박 조절 약물이 자몽과 만나면 심장이 너무 느리게 뛰는 서맥 쇼크가 옵니다.
딜티아젬,플라빅스,혈관 확장제와 항혈전제가 만나면 멍이 심하게 들고 내장 출혈 위험이 커집니다.
니트로글리세린,시알리스,협심증 약과 특정 약물이 만나면 혈압이 완전히 폭락하여 사망할 수 있습니다.
탐스로신,비아그라,전립선약과 특정 성분이 결합하면 기립성 저혈압으로 급격히 쓰러집니다.
하루날디,소주,비뇨기과 약 복용 중 음주는 혈관을 너무 넓혀 실신과 낙상 사고를 유발합니다.
피나스테리드,두타스테리드,탈모 치료 성분을 중복해서 먹으면 호르몬이 교란되고 간 손상만 심해집니다.
프로스카,아보다트,동일한 전립선/탈모 호르몬 억제 마스터 약물을 겹쳐 복용하는 것은 절대 금기입니다.
베시케어,종합감기약,과민성방광 약과 감기약이 만나면 항콜린 효과가 과해져 소변이 아예 안 나옵니다.
포사맥스,치즈,골다공증 약을 유제품과 함께 삼키면 칼슘과 엉겨 붙어 약효가 완전히 사라집니다.
에비스타,와파린,골다공증 치료제가 항응고제의 피를 맑게 하는 효과를 교란하므로 주의해야 합니다.
도네페질,액티피드,콧물 감기약 속 성분이 치명적으로 치매 환자의 기억력 뇌 기능을 지워버립니다.
알포아티린,더치커피,뇌 대사 개선제와 고카페인이 만나면 심한 두통과 극심한 불면증이 생깁니다.
레보도파,비타민B6,고용량 비타민B6가 파킨슨병 약이 뇌로 가기 전에 길목에서 파괴해 버립니다.
마도파,자낙스,파킨슨 약물과 신경안정제가 만나면 온몸의 진정 작용이 과해져 낙상 사고가 납니다.
뮤코펙트,코데인시럽,가래를 녹이는 약과 기침을 멈추는 시럽을 잘못 섞으면 폐에 가래가 고여 위험합니다.
시네츄라,타이레놀,기침 시럽 속 해열 성분과 진통제가 과도하게 중복되어 간에 무리를 줍니다.
알레락,지르텍,두 가지 알레르기 콧물약을 겹쳐 먹으면 하루 종일 잠에서 깨지 못하게 됩니다.
지르텍,막걸리,콧물약과 술이 만나면 중추신경 억제 작용이 겹쳐 심한 졸음과 현기증이 옵니다.
씨잘,스틸녹스,항히스타민제와 강력한 수면제가 만나면 자는 동안 호흡수가 위험하게 가라앉습니다.
알레그라,겔포스,위장약의 알루미늄이 알레르기 약의 장내 흡수를 방해해 효과를 없애버립니다.
유시락스,데파코트,강한 가려움증 약과 간질 약이 만나면 과진정 상태가 되어 위험할 수 있습니다.
스틸녹스,렉사프로,수면제와 우울증 약을 함께 먹으면 밤에 기억 없이 돌아다니는 몽유병 부작용이 생깁니다.
졸피뎀,위스키,수면제 복용 직후 음주는 호흡 중추 마비나 일시적 기억상실을 부르는 절대 금기입니다.
할시온,자몽,자몽주스가 수면 유도제의 간 분해를 막아 다음날 낮까지 심한 몽롱함을 유발합니다.
아티반,자낙스,두 가지 신경안정제를 의사 지시 없이 겹쳐 먹으면 낙상과 골절 위험이 커집니다.
리보트릴,소주,공황장애 약과 알코올이 만나면 심장 박동과 호흡이 위험한 수준으로 느려집니다.
알프람,활명수,신경안정제와 위장약 속 생약 성분이 졸음 부작용을 미세하게 자극할 수 있습니다.
자낙스,에너지드링크,고카페인이 신경안정제의 불안 완화 효과를 완벽하게 차단해 약효를 없앱니다.
렉사프로,탁센,우울증 약과 나프록센 진통제가 만나면 위장관 벽에 구멍이 뚫리는 위출혈 위험이 생깁니다.
졸로푸트,이부프로펜,항우울제와 소염진통제를 같이 먹으면 위점막 손상 확률이 4배 이상 증가합니다.
스타브론,할시온,우울증 약과 수면제가 중복되면 낮 시간대의 기억력과 집중력이 심각하게 떨어집니다.
리리카,코메아시럽,신경통 치료제 복용 중 감기 시럽을 먹으면 현기증과 어지럼증이 배로 심해집니다.
가바펜틴,개비스콘,위장약의 마그네슘이 신경통 약의 체내 흡수를 방해하므로 시간차를 둬야 합니다.
트라마돌,보드카,마약성 진통제 성분과 알코올이 섞이면 숨을 쉬지 않아 사망에 이를 수 있습니다.
페니토인,타이레놀,간질약이 간 대사를 촉진해 타이레놀의 간 독성 물질을 폭발적으로 만들어 냅니다.
멜록시캄,낙센,소염진통제를 두 종류 이상 겹쳐 먹으면 관절염은 안 낫고 위장만 피바다가 됩니다.
소론도,부루펜,스테로이드 약과 소염진통제가 만나면 소화관 궤양 및 출혈 위험이 급증합니다.
아스피린,안티푸라민,먹는 피 맑은 약과 바르는 소염진통제 성분이 만나 위장관 출혈을 유발할 수 있습니다.
5-HTP,항우울제,해외직구 세로토닌 영양제와 우울증 약이 만나면 치명적인 세로토닌 증후군 발작이 옵니다.
티안틴,수면제,기분 개선 아미노산 영양제가 수면제와 만나면 호흡 억제 및 과진정이 올 수 있습니다.
요힘빈,고혈압약,직구 다이어트 성분이 혈압약의 효과를 완벽히 짓밟아 혈압을 폭발적으로 올립니다.
가바영양제,신경안정제,뇌 안정 아미노산 영양제와 안정제가 중복되면 보행 장애와 어지러움이 옵니다.
L-도파영양제,종합비타민,직구 활력 영양제 속 도파 성분이 비타민B6와 만나 뇌로 가기 전 파괴됩니다.
성요한풀,피임약,허브 영양제 성분이 간 대사를 너무 촉진해 피임 호르몬을 없애고 피임에 실패합니다.
에키네시아,면역억제제,천연 면역 허브가 류마티스 등 자가면역질환 처방 약의 효과를 방해합니다.
카바카바,술,스트레스 완화 직구 영양제와 술이 만나면 급성 간부전으로 응급실에 실려 갈 수 있습니다.
고량강,항응고제,천연 생약 성분이 피를 맑게 하는 약과 만나 지혈 불량 부작용을 일으킵니다.
흑효모,당뇨약,면역 영양제 속 다당류가 당뇨 환자의 정밀한 혈당 조절 시스템을 교란할 수 있습니다.
이마티닙,자몽주스,표적항암제가 자몽 성분과 만나면 혈중 농도가 위험하게 상승하여 골수 독성이 생깁니다.
수니티닙,포도즙,항암제와 고농축 과일즙이 만나면 간 대사 효소에 과부하가 걸려 간 수치가 폭발합니다.
에를로티닙,커피,항암제 복용 중 고카페인 섭취는 심각한 설사와 피부 발진 부작용을 악화시킵니다.
소라페닙,와파린,특정 항암제가 피를 맑게 하는 약과 만나면 내장 출혈 위험이 극도로 높아집니다.
타목시펜,종합비타민,유방암 치료 호르몬제와 일부 미네랄 성분이 만나면 약물의 흡수율이 교란될 수 있습니다.
레트로졸,홍삼,호르몬 조절 항암제와 면역을 올리는 홍삼이 부딪혀 호르몬 균형이 깨질 수 있습니다.
아나스트로졸,석류즙,에스트로겐을 차단하는 암약과 에스트로겐이 풍부한 석류즙은 최악의 상극 조합입니다.
플루타미드,술,전립선암 치료제 복용 중 음주는 급성 간괴사를 유발할 수 있는 절대 금기입니다.
메토트렉세이트,이부프로펜,류마티스 약과 일반 소염진통제가 만나면 신장 배출이 막혀 백혈구가 전멸합니다.
아자치오프린,부루펜,면역억제제와 진통제 중복은 골수 기능을 마비시켜 심각한 빈혈을 부릅니다.
사이클로스포린,자몽,면역억제제가 자몽과 만나면 신장이 영구적으로 손상되는 신독성이 생깁니다.
타크로리무스,녹차엑기스,고농축 카테킨이 면역억제제의 체내 농도를 떨어뜨려 장기 거부반응을 유발합니다.
마이코페놀레이트,제산제,위장약(제산제)이 면역억제제의 장내 흡수를 완벽하게 차단해 버립니다.
레플루노미드,술,특정 관절염 약과 알코올이 만나면 간세포가 즉사하는 치명적인 독성이 생깁니다.
인플릭시맙,종합감기약,생물학적 제제 치료 중 감기약 속 성분이 면역계를 교란해 기회감염을 부릅니다.
아달리무맙,생백신,면역이 억제된 상태에서 생백신 예방접종을 하면 백신 바이러스에 감염됩니다.
에타너셉트,항생제,면역 조절 치료 중 강력한 항생제 병용은 장내 미생물 전멸 및 쇼크를 유발할 수 있습니다.
토facitinib,자몽주스,류마티스 신약이 자몽과 만나면 혈액 속 약물 농도가 제어 불능으로 치솟습니다.
바리시티닙,탁센,최신 면역치료제와 나프록센 진통제가 만나면 신장 기능에 심각한 과부하가 걸립니다.
우파다시티닙,아스피린,면역 억제 신약과 아스피린 조합은 위장관 궤양 및 출혈 발생률을 높입니다.
인데놀,커피,심장 맥박을 낮추는 약과 카페인이 만나면 약효가 상쇄되고 부정맥이 악화됩니다.
아테놀롤,에너지드링크,혈압약의 심장 진정 작용과 고카페인의 흥분 작용이 충돌해 심장이 불규칙하게 뜁니다.
메토프롤롤,부루펜,소염진통제가 혈압약의 혈압 강하 효과를 무력화시켜 혈압이 다시 치솟습니다.
카르베딜롤,알코올,일부 혈압약과 술이 만나면 혈관이 지나치게 열려 기립성 실신을 유발합니다.
비소프롤롤,종합감기약,감기약 속 슈도에페드린 성분이 혈압약의 효과를 짓밟고 혈압을 올립니다.
도background,자몽,일부 고지혈증 약물이 자몽 효소에 막혀 몸속에 독성 수준으로 쌓이게 됩니다.
프라바스타틴,에리스로마이신,특정 항생제가 고지혈증 약의 배출을 막아 전신 근육통을 부릅니다.
플루바스타틴,레드와인,고지혈증 약과 알코올이 만나면 간 수치가 폭발하고 근육 세포가 녹아내립니다.
피타바스타틴,시클로스포린,면역억제제가 고지혈증 약물의 독성을 체내에 가두어 신부전을 유발합니다.
로바스타틴,오렌지주스,일부 감귤류 주스가 고지혈증 약의 장내 대사를 방해해 부작용을 키웁니다.
에제티미브,제산제,알루미늄 위장약이 고지혈증 복합제 성분의 흡수율을 떨어뜨려 효과를 낮춥니다.
페노피브레이트,와파린,중성지방 약이 항응고제의 힘을 너무 키워 가벼운 충격에도 뇌출혈을 일으킵니다.
오메가3복합제,아스피린,피를 맑게 하는 처방약물과 고용량 오메가3가 만나 지혈 불량을 유발합니다.
콜레스티라민,종합비타민,고지혈증 약이 비타민 영양제의 장내 흡수를 완전히 흡착해 배출시켜 버립니다.
리피토,인삼엑기스,고농축 인삼 성분이 고지혈증 약의 간 대사 경로를 방해해 근육 독성을 높일 수 있습니다.
메트포르민,치즈퐁듀,유제품을 당뇨약과 함께 과다 섭취 시 젖산 과부하로 심한 복통과 설사가 옵니다.
글리메피리드,마늘즙,고농축 마늘 성분이 당뇨약의 작용을 과하게 만들어 위험한 저혈당을 부릅니다.
피오글리타존,소론도,일부 당뇨약과 스테로이드제가 만나면 몸이 붓는 부종과 심부전 위험이 생깁니다.
시타글립틴,이부프로펜,진통제가 신장 기능을 떨어뜨려 당뇨약이 몸 밖으로 빠져나가는 것을 막습니다.
리나글립틴,고용량비타민C,비타민C가 당뇨 환자의 자가 혈당 측정기 화학 반응을 방해해 오류를 냅니다.
엠파글리플로진,다이크로짇,소변으로 당을 빼는 약과 이뇨제가 만나면 피가 끈적해지는 극심한 탈수가 옵니다.
다파글리플로진,커피,당뇨약의 이뇨 효과에 카페인의 이뇨 작용이 더해져 기절할 듯한 탈수가 발생합니다.
보글리보스,탄산음료,탄산음료와 일부 당뇨약이 만나면 장내 가스가 폭발적으로 차올라 극심한 복통이 옵니다.
아카보스,맥주,당 분해를 막는 당뇨약과 술이 만나면 장에서 이상 발효가 일어나 설사가 멈추지 않습니다.
인슐린주사,소주,인슐린 투여 후 음주는 뇌세포를 즉사시킬 수 있는 치명적인 야간 저혈당을 부릅니다.
테오필린,시프로플록사신,천식 약과 특정 항생제가 만나면 천식 약 독성이 올라가 발작을 일으킵니다.
몬테루카스트,아스피린,특정 천식 환자가 아스피린을 먹으면 호흡이 멈추는 아스피린 천식 발작이 옵니다.
벤토린흡입제,인데놀,천식 증상을 넓히는 흡입제와 특정 혈압약이 만나면 서로의 효과를 완벽히 지워버립니다.
세레타이드,부루펜,소염진통제가 천식 환자의 기관지를 미세하게 수축시켜 천식 증상을 악화시킬 수 있습니다.
심비코트,에너지드링크,천식 흡입제의 교감신경 자극 효과와 고카페인이 만나 심장이 터질 듯이 뜁니다.
플루티카손,자몽,호르몬성 천식 치료 성분이 자몽과 만나면 체내 스테로이드 농도가 비정상적으로 올라갑니다.
이프라트로피움,액티피드,흡입형 천식약과 감기약 속 콧물약이 만나면 심한 입마름과 시야 흐림이 옵니다.
티오트로피움,종합감기약,기관지 확장제와 일반 감기약 성분이 겹치면 급성 안압 상승(녹내장) 위험이 생깁니다.
로플루밀라스트,항진균제,무좀약이 천식/COPD 신약의 분해를 막아 극심한 구토와 두통을 부릅니다.
옴background,면역억제제,중증 천식 주사제 치료 중 다른 면역계 약물 중복은 감염 위험을 극대화합니다.
알포아티린,동일성분약,뇌 대사 개선제가 중복 복용되면 뇌 신경 과부하로 극심한 불면과 구토가 옵니다.
도네페질,액티피드,콧물 감기약 속 항콜린 성분이 치명적으로 치매 환자의 뇌 기억 장치를 지워버립니다.
메만틴,제산제,위장약(제산제)이 소변을 알칼리화하여 치매약의 배출을 막고 몸속 독성을 올립니다.
리바스티그민,장염약,치매 환자가 장염약(진경제)을 먹으면 치매약 고유의 신경 전달 효과가 사라집니다.
갈란타민,종합감기약,감기약 속 졸린 성분과 치매약이 만나면 정신 혼동과 맥박 저하 쇼크가 올 수 있습니다.
레보도파,비타민B6,고용량 비타민B6 영양제가 파킨슨 약이 뇌로 들어가기 전에 길목에서 파괴합니다.
마도파,자낙스,파킨슨병 약과 신경안정제가 만나면 전신 근육이 너무 풀려 심각한 낙상 사고가 발생합니다.
프라미펙솔,맥주,파킨슨 약 복용 중 음주는 환각 증상과 통제 불가능한 주체할 수 없는 졸음을 부릅니다.
로피니롤,커피,파킨슨 약과 카페인이 만나면 손발 떨림이 멈추지 않고 심장 두근거림이 심해집니다.
라사길린,항우울제,특정 파킨슨 약과 우울증 약이 만나면 혈압이 폭발하여 뇌졸중을 일으키는 절대 금기입니다.
콜킨,자몽주스,통풍 약을 먹을 때 자몽을 먹으면 약물 분해 시스템이 마비되어 치명적인 골수 독성이 옵니다.
자이로릭,아자치오프린,통풍 약이 면역억제제의 배출을 막아 백혈구가 급격히 감소하는 부작용이 생깁니다.
페부소스타트,와파린,최신 통풍 치료제가 항응고제의 농도를 변화시켜 출혈 위험을 가중시킬 수 있습니다.
벤즈브로마론,소염진통제,통풍 약과 진통제가 동시에 신장에 무리를 주어 급성 신부전을 유발할 수 있습니다.
콜키신,클래리트로마이신,통풍약과 특정 항생제가 만나면 온몸의 근육이 녹아내리는 치명적 부작용이 생깁니다.
포사맥스,우유,골다공증 약을 우유와 함께 마시면 칼슘 성분과 엉겨 붙어 약효가 완전히 제로가 됩니다.
에비스타,플라빅스,골다공증 치료제가 피를 맑게 하는 약의 농도를 교란하므로 정기 검사가 필요합니다.
본비바,제산제,골다공증 약물과 위장약(제산제)을 동시에 먹으면 약 성분이 흡수되지 못하고 배출됩니다.
조메타,이지엔6,주사형 골다공증 약물과 소염진통제 병용은 신장 필터에 치명적인 손상을 줍니다.
프롤리아주사,면역억제제,골다공증 표적 주사제 치료 중 면역억제제 병용은 중증 턱관절 괴사 위험을 높입니다.
라록시펜,와파린,호르몬성 골다공증 약이 항응고 효과를 변화시키므로 피 검사 모니터링이 필수입니다.
알렌드로네이트,원두커피,골다공증 알약을 커피와 마시면 위점막이 사정없이 깎여나가 극심한 속쓰림이 옵니다.
리세드로네이트,철분제,빈혈 영양제 속 철분이 골다공증 약 성분을 흡착해 효과를 없애버립니다.
이반드로네이트,오렌지주스,강한 산성 주스가 골다공증 약의 위장 장애(식도염, 궤양) 부작용을 자극합니다.
테리파라타이드,디곡신,골형성 촉진 주사제가 심장약 디곡신의 독성을 올려 부정맥을 유발할 수 있습니다.
스틸녹스,렉사프로,강력한 수면제와 우울증 약 조합은 밤사이 의식 없이 돌아다니는 몽유병을 유발합니다.
졸피뎀,보드카,수면제 복용 직후 음주는 숨을 멈추게 하는 호흡 중추 마비 및 기억상실을 부릅니다.
할시온,자몽,자몽주스가 수면 유도제의 간 분해를 완벽히 막아 다음날 낮까지 비틀거리게 만득니다.
아티반,자낙스,두 가지 신경안정제를 겹쳐 먹으면 대뇌 기능이 너무 가라앉아 낙상과 골절 위험이 큽니다.
리보트릴,소주,공황장애 약과 알코올이 만나면 심장 박동과 호흡이 위험한 수준으로 가라앉습니다.
알프람,활명수,신경안정제와 위장약 속 일부 생약 성분이 졸음 부작용을 미세하게 자극할 수 있습니다.
자낙스,에너지드링크,고카페인이 신경안정제의 불안 완화 효과를 완벽하게 차단해 약효를 없앱니다.
렉사프로,탁센,우울증 약과 나프록센 진통제가 만나면 위장관 벽에 구멍이 뚫리는 위출혈 위험이 생깁니다.
졸로푸트,이부프로펜,항우울제와 소염진통제를 같이 먹으면 위점막 손상 확률이 4배 이상 증가합니다.
스타브론,할시온,우울증 약과 수면제가 중복되면 낮 시간대의 기억력과 집중력이 심각하게 떨어집니다.
프로작,아스피린,우울증 약의 혈소판 억제 기능이 아스피린과 만나 지혈이 안 되는 피떡 부작용을 낳습니다.
세로External,술,정신과 처방약물과 알코올이 섞이면 뇌 신경망이 마비되어 극심한 기절을 부릅니다.
웰부트린,커피,우울증 약의 교감신경 흥분 효과와 카페인이 더해져 심한 발작과 공황장애가 올 수 있습니다.
이펙서,이지엔6,최신 항우울제와 소염진통제 병용 시 내장 출혈 및 궤양 발생률이 급증합니다.
심발타,와파린,우울증 약과 피 맑은 약이 만나면 온몸에 피멍이 들고 뇌출혈 위험이 증가합니다.
데파코트,타이레놀,간질약이 간 대사를 촉진해 타이레놀의 간 독성 물질을 폭발적으로 만들어 냅니다.
토파맥스,맥주,뇌 신경을 안정시키는 약과 술이 만나면 언어 장애 및 극심한 비틀거림이 옵니다.
리리카,종합감기약,신경통 치료제 복용 중 감기약을 먹으면 현기증이 심해져 어지럼증을 유발합니다.
가바펜틴,개비스콘,위장약의 마그네슘이 신경통 약의 체내 흡수를 방해하므로 시간차를 둬야 합니다.
트라마돌,보드카,마약성 진통제 성분과 알코올이 섞이면 숨을 쉬지 않아 사망에 이를 수 있습니다.
멜록시캄,낙센,소염진통제를 두 종류 이상 겹쳐 먹으면 관절염은 안 낫고 위장만 피바다가 됩니다.
소론도,부루펜,스테로이드 약과 소염진통제가 만나면 소화관 궤양 및 출혈 위험이 급증합니다.
아스피린,안티푸라민,먹는 피 맑은 약과 바르는 소염진통제 성분이 만나 위장관 출혈을 유발할 수 있습니다.
플라빅스,아스피린,두 항혈전제를 중복 복용 시 뇌출혈이나 지혈 불량으로 매우 위험해집니다.
와파린,브로콜리,브로콜리 속 비타민K가 항응고제의 피를 맑게 하는 효과를 완전히 무력화시킵니다.
릭시아나,부루펜,최신 피 맑은 약과 소염진통제를 함께 쓰면 장내 대량 출혈 위험이 매우 커집니다.
엘리퀴스,탁센,항응고제와 진통제의 만남은 몸 곳곳에 쉽게 멍이 들고 피가 안 멈추는 부작용을 낳습니다.
자렐토,석류즙,석류의 특정 성분이 항응고제 분해를 방해해 출혈 경향을 비정상적으로 높집니다.
오메가3,플라빅스,피를 묽게 하는 영양제와 약이 만나 상처가 났을 때 지혈이 장시간 안 될 수 있습니다.
홍삼,아마릴,홍삼 성분이 당뇨약의 힘을 과도하게 키워 뇌 쇼크를 부르는 저혈당을 유발합니다.
프로바이오틱스,클라리시드,강력한 항생제가 영양제 속 유산균을 다 죽여버리므로 최소 2시간 뒤에 먹어야 합니다.
루테인,종합비타민,양쪽의 비타민A 성분이 겹쳐 몸에 과다 축적되면 간 손상과 두통이 생깁니다.
종합감기약,녹차,감기약 속 카페인과 녹차의 카페인이 더해져 가슴이 터질 듯이 뛰고 잠이 안 옵니다.
알마겔,철분영양제,제산제 속 미네랄 성분이 철분 영양제와 결합해 철분이 몸에 흡수되지 못하게 막습니다.
개비스콘,바난,위장약이 장내 산도를 바꾸면 항생제 알약이 제대로 녹지 않아 효과가 사라집니다.
큐란,가스터,동일한 위산 분비 억제 성분이 과도하게 겹치면 현기증과 대사 교란 부작용이 생깁니다.
넥시움,와파린,위장약이 항응고제의 혈중 농도를 변화시켜 뇌졸중 방지 효과를 떨어뜨릴 수 있습니다.
타케캡,이지엔6,최신 위장약과 소염진통제 조합 시 위는 보호되나 신장 독성 상호작용은 주의해야 합니다.
가스모틴,가스프라,위장관 운동 조절제를 중복 복용하면 장이 과도하게 쥐어짜져 복통과 설사가 옵니다.
포리부틴,씨잘,장 운동 조절제와 항히스타민 콧물약이 만나면 신경계가 겹쳐 극심한 변비가 옵니다.
훼로바,초코우유,유제품 속 칼슘과 카카오 성분이 빈혈약의 체내 흡수를 완벽하게 차단합니다.
센트룸,크라비트,종합비타민 속 아연이 항생제 성분을 꽉 붙잡아 약효를 0으로 만듭니다.
비타민D,겔포스,위장약을 장기 복용하면 비타민D 대사가 나빠져 뼈가 약해지는 부작용이 생낄 수 있습니다.
오메가3,탁센,오메가3의 혈행 개선 효과와 진통제의 위벽 자극이 만나 출혈 부작용을 도울 수 있습니다.
루테인,담배,흡연자가 루테인 성분을 고용량으로 매일 먹으면 폐암 발생 위험이 높아진다는 연구가 있습니다.
밀크씨슬,피임약,간 대사를 올리는 밀크씨슬이 피임 호르몬을 너무 빨리 분해해 피임 성공률을 낮춥니다.
글루코사민,당뇨약,관절 영양제 속 당 성분이 당뇨 환자의 인슐린 효과를 방해해 혈당을 올릴 수 있습니다.
펜터민,커피,다이어트 나비약과 커피가 만나면 교감신경이 폭발해 심장 발작 및 극심한 공황이 옵니다.
큐시미아,술,식욕억제제 복용 중 음주는 환각, 극심한 우울증, 불면증 파괴를 초래합니다.
콘서타,에너지드링크,ADHD 약물과 고카페인이 더해져 혈압이 급상승하고 손발이 눈에 띄게 떨립니다.
아토목세틴,렉사프로,ADHD 약의 간 분해가 막혀 심장 박동수가 위험할 정도로 빨라져 부정맥을 부릅니다.
콜킨,자몽주스,통풍 약을 먹을 때 자몽을 먹으면 약물 분해가 안 되어 치명적인 전신 골수 독성이 옵니다.
티로파,알레락,위장 진경제와 알레르기 콧물약 성분이 겹치면 입이 타들어 가듯 마르고 시야가 흐려집니다.
5-HTP,렉사프로,해외직구 기분개선 영양제와 우울증 약이 만나면 뇌 쇼크를 일으키는 세로토닌 증후군이 옵니다.
티안틴,스틸녹스,직구 스트레스 영양제와 강력한 수면제가 중복되면 호흡 마비 등 과진정 위험이 생깁니다.
요힘빈,노바스크,다이어트 영양제 성분이 혈압약의 약효를 완전히 뭉개버리고 혈압을 폭발시켰습니다.
가바,자낙스,뇌 안정 아미노산 영양제와 신경안정제가 만나면 중심을 못 잡고 비틀거리는 낙상이 발생합니다.
성요한풀,경구피임약,천연 허브 성분이 간 대사를 과하게 돌려 피임약 성분을 없애고 피임에 실패합니다.
에키네시아,소론도,면역을 올리는 허브와 면역을 누르는 스테로이드제가 만나 서로의 효과를 지워버립니다.
카바카바,게보린,직구 수면 보조 허브와 진통제가 만나면 급성 간 괴사로 응급실에 실려 가는 대형 사고가 납니다.
